Chain,DeFi Application,Transaction Hash
ETH,ShibaSwap,0xd63a004094b7040489026745f6499f2abdb4ef1b2e822f2a1d43c4842ec36a71
ETH,AAVE V2,0x7f47b442117be1ca0f4275fc41db40d01161c5bd9447d90217976abc2e982fa2
BSC,BiSwap,0x0a7623a50713fef95d9d42ab429bb1279cdb8b4c291f075e2603bea9bf061099
BSC,Magpie,0x22c67458e3b63cf3afdf97d2afe94c9c85e596eb5c8c7bddb73191787e190820
BSC,Elephant Money,0xb797fe2bb263405d3cab6fe82437b21a54a9a39dba72056dc513a836f1a18124
ETH,Uniswap V3,0xb6882aeecdc7ec8bdb6c471d8c44656a0dcef4ab98f3bb03e2951c669aad9731
ETH,Hex,0x695e9e28542076debe695e299b0c49bb174e3c8dc4a99b941add51cb53f9560a
BSC,Magpie,0xc5a9c18f97f1464d77293fadb995b67ee031d98fc14b6c4fdd5095c73b7dabc4
ETH,Uniswap V3,0x7b3bc633e67baca25b8652734f09eb4b7b4cc04719a23ae566b051f8cb0b9f03
ETH,Compound V3,0xc3c4d4f63491474ea157ef25f65b45f57dce38d3b81073f37baf48fece8228a1
BSC,BabyDogeSwap,0x69e3f48665c8ad451ed99e82d1ae14010c0cd30758ec5a5f43d4149f7edf376e
ETH,KyberSwap,0xd79f69bd9d058ce718b3c9af113abd1273fb90b45e626cd3066b0fc33eeaa2dd
BSC,Bitgert,0xb575a0f3549f721af6dafa9046d15027572de8434c587b2d5a5325e82651cc5c
ETH,WBTC,0xb011c6ae412ff8c8514b10ba44c442c76a2adc0ba8b35f6421720ba4f893bd2e
ETH,Voyager,0x27b511ed781554e0421bceb39bcf2825b15071213c24bf6227483a13b0873e31
BSC,BabyDogeSwap,0xf453f11521e8e9bd8001b65a5e97ce7fcea7c1cda8004f80f726ed52f0d6cb38
ETH,Compound V3,0x620da869352582b62433c497d5f612d35d175dc5849daa9ade44ec1144f9cbfa
BSC,BabyDogeSwap,0x3036dcf5b1092f730b6563ef420c2e80f9e79913bce1cea5f042d42e7326b7c1
ETH,Loopring,0x1c1595f68a16f109dc5bf0e9d4a9238d6d984e57a8e907aa680f48be7521abff
ETH,ShibaSwap,0xfc5c1a67182fd6026cae11ed313c722283a0c0bf7a2878c5f37ebc4858d5ef83
ETH,Chain,0x7d3b7d7bba522cf636c018bfea075c8d39786b2f774721162eb30a45becf45c4
ETH,Umbrella Network,0xad1e294b9fde6ba4dd2bebbc7827bdcbbde7ff46507a4045442e5110570ea6ea
ETH,Synthetix,0x7ccaecec78b356d188a3e025d29b94ba932d16a3a8b49b61a9e0f1c9b8dbba7a
ETH,Liquity,0xcf5b047d73113866cce27fa68eeba8528660eae7905d95a178346bf92fd51012
ETH,Synthetix,0x66653a9e9a45aa84cf3932ac7b5ded6a1fca71ae95778ac404acfab501b76631
ETH,YFDAI,0x3c4a1391d657f0e361556e062287b7ca84563b3638858a1c6d4deb9cb91b3596
ETH,Metronome DAO,0x3f289490a14176409190cbcc0ce53b9ef730cf0b0514e68a7acd0e41e176b36e
BSC,BabyDogeSwap,0xc5d997aacbdd6ceb383b45b1bdda2fb8f4377306e1d0c70fcc11cd9a21e30d40
ETH,Hex,0xf8da588cece000b4b3973b5f5848de1fa087b3d360f7904dd6221796dd41008d
BSC,Drip,0xc5fb2b59fab49d7bf665c7afbac66d0db378aee5f1c2df3a0e12d4698baef89b
ETH,Augur,0x03c5c84c3ec4a2dbcd532e0e949f4313d2b578c1332478012a475fc5c1cfd4e4
ETH,WBTC,0xed533c0acc10fcb7ca2a0bb9fed2afd2a2b79a2689c4cb394329215eee6e31ac
ETH,Yearn Finance,0x01fad1656c78e6ee8161d6a9741b98df64d20a5e6f20999d7ca81783c7ff1053
ETH,Hashflow,0x2d6d55c7a97029cf6897c197c97d74b3755213819a0504a62ca2d0eabe8fb8ac
BSC,Emp Money,0x7428701703d0385e4374bff6b059b4efa30d7953547befdbcb59027d55b89a61
ETH,API3,0x2c16397f82a1fa1011d0f3a8a268424a5efa596384bbd86a2cc7552b6b5bd11c
ETH,Uniswap V3,0x143b4eef79419db6cc3561c73be4cbbe7271bbbf2a91abef89f3d92db6e9ca10
BSC,Drip,0x67783d5d80fc5eb0d8f6f2b16fa2600d952342b5d5487f0187cf25b26e96d9eb
ETH,Erasure,0x3adb800d7d2cd7e4daccf43bc24193207c3088629cb9dc5b29b40ca6855dde73
BSC,BabyDogeSwap,0x1adfbbdfdc0e96b3c0aaa43cd7d4a0ac993f5d179be45b57b82d3442dc7be6ed
ETH,Orion Money,0x95298993ee82a931132c4f87ef401099d58157d0e580168b1de1fff9539206f5
BSC,BabyDogeSwap,0xf9f9452c152b3859e72acd947700225acab50ed640d6ae78d27624958d8e133a
BSC,BabyDogeSwap,0x5af1228a5b208b2cc1dac1d37658413b9c3066e8d89b40fe68e3223273be5f90
